Name,Description,Status,Level,Latitude,Longitude
1!f53795d63d0943deb460cf37a4cbd30800010001,"Wiretide radbeacon dot 1 - eddystone uid",ACTIVE,3,33.6713348,-117.1685021
3!f53795d6cf37a4cbd308000000000001,"Wiretide radbeacon dot 1 - iBeacon",ACTIVE,3,33.6713348,-117.1685021
